Country,Month,wind
CA,Nov-17,7948
CA,Dec-17,6937
CA,Jan-18,7364
CA,Feb-18,6347
CA,Mar-18,6515
CA,Apr-18,6864
CA,May-18,6148
CA,Jun-18,5335
CA,Jul-18,4619
CA,Aug-18,4075
CA,Sep-18,5073
CA,Oct-18,6306
CA,Nov-18,6452
CA,Dec-18,6554
CA,Jan-19,7139
CA,Feb-19,6319
CA,Mar-19,6401
CA,Apr-19,7345
CA,May-19,5389
CA,Jun-19,4678
CA,Jul-19,3822
CA,Aug-19,4305
CA,Sep-19,4807
CA,Oct-19,6825
CA,Nov-19,6496
CA,Dec-19,5938
CA,Jan-20,6366
CA,Feb-20,6470
CA,Mar-20,7763
CA,Apr-20,7283
CA,May-20,6929
CA,Jun-20,5201
CA,Jul-20,3639
CA,Aug-20,4603
CA,Sep-20,5815
CA,Oct-20,6732
CA,Nov-20,7360
CA,Dec-20,6705
CA,Jan-21,6081
CA,Feb-21,5829
CA,Mar-21,8361
CA,Apr-21,6724
CA,May-21,6487
CA,Jun-21,5290
CA,Jul-21,3855
CA,Aug-21,4561
CA,Sep-21,5863
CA,Oct-21,6241
CA,Nov-21,7256
CA,Dec-21,7450
CA,Jan-22,7808
CA,Feb-22,7389
CA,Mar-22,7473
CA,Apr-22,7711
CA,May-22,6562
CA,Jun-22,5232
CA,Jul-22,3662
CA,Aug-22,3942
CA,Sep-22,5191
CA,Oct-22,6619
CA,Nov-22,7726
CA,Dec-22,7404
CA,Jan-23,5429
CA,Feb-23,5961
CA,Mar-23,5475
CA,Apr-23,6006
CA,May-23,6037
CA,Jun-23,4555
CA,Jul-23,3120
CA,Aug-23,3758
CA,Sep-23,4118
CA,Oct-23,5391
CA,Nov-23,6722
CA,Dec-23,6140
CH,Jan-12,803
CH,Feb-12,982
CH,Mar-12,1195
CH,Apr-12,1264
CH,May-12,797
CH,Jun-12,673
CH,Jul-12,606
CH,Aug-12,672
CH,Sep-12,488
CH,Oct-12,703
CH,Nov-12,978
CH,Dec-12,1102
CH,Jan-13,809
CH,Feb-13,986
CH,Mar-13,1209
CH,Apr-13,1326
CH,May-13,1108
CH,Jun-13,807
CH,Jul-13,771
CH,Aug-13,758
CH,Sep-13,739
CH,Oct-13,819
CH,Nov-13,1079
CH,Dec-13,843
CH,Jan-14,933
CH,Feb-14,955
CH,Mar-14,946
CH,Apr-14,995
CH,May-14,1280
CH,Jun-14,589
CH,Jul-14,625
CH,Aug-14,394
CH,Sep-14,550
CH,Oct-14,844
CH,Nov-14,924
CH,Dec-14,1312
CH,Jan-15,945
CH,Feb-15,988
CH,Mar-15,1241
